,name,longitude,latitude,total_pop,area,reachfactor,geometry,type,city,cluster,address,zipcode,Lat,Long,source,url,notes,URL 2,geometry_y,total,men,women
0,3D Incubator,2.123035946032709,41.340035586268726,25847.0,1257375.85,0.25620000000000004,"POLYGON ((2.109858 41.336682, 2.111475 41.334295, 2.111614 41.334134, 2.111828 41.334225, 2.117692 41.334835, 2.117735 41.334865, 2.117848 41.335207, 2.122971 41.338277, 2.123159 41.338206, 2.123324 41.338138, 2.123493 41.338069, 2.123663 41.337999, 2.125111 41.337491, 2.127581 41.333293, 2.127888 41.333106, 2.131512 41.334057, 2.13323 41.334836, 2.133268 41.334858, 2.13329 41.334872, 2.133215 41.335128, 2.133188 41.335193, 2.132823 41.336145, 2.131745 41.338286, 2.133679 41.343615, 2.135226 41.343907, 2.135401 41.343931, 2.136461 41.34412, 2.136508 41.344194, 2.136626 41.344534, 2.1349 41.345904, 2.1345549999999998 41.345802, 2.12952 41.342637, 2.129404 41.342598, 2.129317 41.342567, 2.129114 41.342497, 2.128911 41.342426, 2.128708 41.342356, 2.128505 41.342285, 2.128302 41.342215, 2.128085 41.342139, 2.127977 41.342101, 2.127869 41.342063, 2.127651 41.341987, 2.127416 41.341907, 2.127337 41.34188, 2.127179 41.341826, 2.126963 41.341749, 2.126747 41.341672, 2.126532 41.341595, 2.126318 41.341518, 2.126103 41.341442, 2.1258879999999998 41.341365, 2.125674 41.341288, 2.125459 41.341212, 2.125244 41.341135, 2.125029 41.341058, 2.12491 41.341011, 2.118953 41.341535, 2.118765 41.341645, 2.11862 41.341661, 2.118475 41.341636, 2.118363 41.341582, 2.114524 41.339694, 2.110098 41.33695, 2.109858 41.336682))",Incubator-Accelerator,Barcelona,BCN,"Polígono Industrial de la, Avinguda Parc Logístic, 2, 10",8040.0,41.340035586268726,2.1230359460327093,Manually added,https://www.incubator3d.org/,,,POINT (2.1230359460327093 41.340035586268726),21486,10183,11303
1,AKASHA Hub Barcelona,2.191145940148218,41.41105433376162,96774.0,4573263.53,0.9317000000000001,"POLYGON ((2.178987 41.413062, 2.179193 41.408718, 2.179173 41.406887, 2.179227 41.405309, 2.179664 41.403306, 2.179918 41.402998, 2.179942 41.40297, 2.180513 41.402543, 2.183406 41.400344, 2.183479 41.400289, 2.186542 41.399645, 2.191507 41.399958, 2.195529 41.400947, 2.198966 41.401362, 2.202663 41.402587, 2.202675 41.402594, 2.2029 41.402747, 2.20291 41.402755, 2.202964 41.402915, 2.203307 41.404135, 2.2038 41.408212, 2.203527 41.413028, 2.203573 41.415112, 2.203545 41.416383, 2.203527 41.416535, 2.203017 41.418084, 2.201786 41.420552, 2.201623 41.420621, 2.196888 41.421331, 2.191556 41.422588, 2.186204 41.422155, 2.181476 41.42059, 2.180606 41.419936, 2.180509 41.419744, 2.17983 41.416021, 2.179167 41.413672, 2.178987 41.413062))",Hackerspace,Barcelona,BCN,"carrer de la verneda, 17 loc1",8018.0,41.41105433376162,2.1911459401482185,Hackerspaces.org,https://wiki.hackerspaces.org/AKASHA_Hub_Barcelona,,,POINT (2.1911459401482185 41.41105433376162),74718,35398,39319
2,Ateneu de Fabricació Ca L'Alier,2.203873110704254,41.41078570052905,93219.0,4526884.39,0.9222,"POLYGON ((2.190682 41.404717, 2.192169 41.402302, 2.192389 41.40205, 2.192954 41.401619, 2.193138 41.40149, 2.197197 41.399895, 2.1989549999999998 41.399878, 2.201661 41.400338, 2.205667 41.400532, 2.206693 41.400554, 2.210946 41.400858, 2.211224 41.401034, 2.212874 41.402309, 2.213209 41.402575, 2.215892 41.404902, 2.216257 41.405215, 2.217505 41.40812, 2.217599 41.410243, 2.216245 41.41268, 2.215945 41.416217, 2.215929 41.416789, 2.215633 41.417798, 2.215206 41.418299, 2.212909 41.420815, 2.212751 41.420937, 2.210775 41.42188, 2.208023 41.421868, 2.20269 41.421073, 2.201564 41.421011, 2.197642 41.420783, 2.195171 41.420489, 2.194701 41.420213, 2.194662 41.420183, 2.191763 41.416501, 2.191742 41.416464, 2.19171 41.415129, 2.191653 41.412805, 2.191597 41.409699, 2.190686 41.404746, 2.190682 41.404717))",Ateneu de Fabricació,Barcelona,BCN,"Carrer de Pere IV, 362",8019.0,41.41078570052905,2.203873110704254,Ajuntament.barcelona.cat,,,,POINT (2.203873110704254 41.41078570052905),69013,32695,36317
3,Ateneu de Fabricació Ciutat Meridiana,2.169872326657153,41.460459824619406,11587.0,1595247.01,0.325,"POLYGON ((2.162366 41.467182, 2.162393 41.466976, 2.162598 41.466214, 2.162665 41.466008, 2.163482 41.46054, 2.16263 41.456401, 2.1627 41.456048, 2.1629519999999998 41.456098, 2.163205 41.456147, 2.163497 41.45623, 2.164015 41.456534, 2.169559 41.45716, 2.174175 41.45557, 2.174768 41.455585, 2.174865 41.4556, 2.179124 41.458377, 2.181934 41.459681, 2.18221 41.459938, 2.182231 41.460164, 2.1822179999999998 41.460213, 2.180573 41.464789, 2.180347 41.465067, 2.180182 41.465212, 2.179908 41.46532, 2.179816 41.465334, 2.176618 41.465845, 2.174842 41.465475, 2.170106 41.466989, 2.169801 41.467181, 2.16956 41.467255, 2.165098 41.466693, 2.162723 41.46723, 2.162366 41.467182))",Ateneu de Fabricació,Barcelona,BCN,"Av. de Rasos de Peguera, 232",8033.0,41.460459824619406,2.1698723266571536,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,,POINT (2.1698723266571536 41.460459824619406),10855,5179,5676
4,Ateneu de Fabricació Gràcia,2.161167011312049,41.39936443324356,97329.0,4510074.18,0.9188000000000001,"POLYGON ((2.148282 41.39726, 2.148285 41.397202, 2.148575 41.39425, 2.148594 41.39413, 2.149727 41.392431, 2.152018 41.390109, 2.152119 41.390029, 2.154699 41.389588, 2.157051 41.389497, 2.160006 41.389371, 2.165739 41.389167, 2.165899 41.389171, 2.1689439999999998 41.389636, 2.1719 41.390083, 2.171972 41.390135, 2.172024 41.390173, 2.172869 41.391017, 2.173643 41.392998, 2.174567 41.395444, 2.175835 41.400829, 2.175835 41.400874, 2.174487 41.403014, 2.173154 41.407375, 2.172512 41.408125, 2.172149 41.408483, 2.1720639999999998 41.408548, 2.171762 41.408701, 2.17011 41.408834, 2.166497 41.408979, 2.161941 41.409659, 2.15599 41.409297, 2.15328 41.408947, 2.153058 41.408858, 2.150533 41.407545999999996, 2.150326 41.407384, 2.148359 41.402012, 2.148282 41.39726))",Ateneu de Fabricació,Barcelona,BCN,Carrer Perill 8,8012.0,41.39936443324356,2.1611670113120494,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,,POINT (2.1611670113120494 41.39936443324356),98817,46815,52001
5,Ateneu de Fabricació La Fàbrica del Sol / Espai d'Intercanvi Barceloneta,2.191718180625283,41.382352379582926,48218.0,2807067.38,0.5719000000000001,"POLYGON ((2.177486 41.385269, 2.177497 41.382645, 2.177585 41.381358, 2.178256 41.378794, 2.178717 41.37772, 2.181317 41.376336, 2.186301 41.373044, 2.187242 41.372208, 2.187323 41.37218, 2.190873 41.371581, 2.190963 41.372116, 2.192149 41.37711, 2.192675 41.379682, 2.19682 41.381192, 2.197564 41.386061, 2.199721 41.386648, 2.201921 41.387009, 2.201951 41.387032, 2.201943 41.389589, 2.201931 41.389714, 2.201899 41.389803, 2.201118 41.391408, 2.201091 41.391429, 2.201063 41.39145, 2.201035 41.39147, 2.197771 41.392125, 2.195168 41.392398, 2.192553 41.392568, 2.192425 41.392574, 2.189607 41.391829, 2.189578 41.391808, 2.184955 41.388765, 2.184376 41.388768, 2.181512 41.388583, 2.178439 41.386927, 2.178398 41.386876, 2.178334 41.386784, 2.178301 41.38673, 2.177486 41.385269))",Ateneu de Fabricació / Barcelona Recircula – Tool Library / Repair Cafè,Barcelona,BCN,"Passeig de Salvat Papasseit, 1",8003.0,41.382352379582926,2.191718180625283,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,https://bcnsostenible.cat/web/punt/espai-dintercanvi-barceloneta,POINT (2.191718180625283 41.382352379582926),37411,17724,19687
6,Ateneu de Fabricació Les Corts,2.135464167132671,41.38366087714364,88373.0,4220282.63,0.8597,"POLYGON ((2.122527 41.381593, 2.122918 41.377285, 2.123992 41.375881, 2.12411 41.375752, 2.124182 41.375714, 2.127311 41.374995, 2.130573 41.37381, 2.134336 41.372597, 2.136872 41.372079, 2.13892 41.372041, 2.138988 41.372054, 2.141107 41.372624, 2.145419 41.375492, 2.146525 41.376357, 2.1475400000000002 41.378474, 2.147642 41.37873, 2.147927 41.382173, 2.147951 41.382602, 2.147992 41.383912, 2.148051 41.385594, 2.148029 41.386925, 2.147893 41.389122, 2.144668 41.392088, 2.144386 41.392303, 2.141492 41.39275, 2.140894 41.392843, 2.136898 41.393445, 2.132696 41.393469, 2.131622 41.393435, 2.127217 41.392062, 2.125961 41.39158, 2.124199 41.389567, 2.123325 41.387558, 2.123296 41.384882, 2.122527 41.381593))",Ateneu de Fabricació,Barcelona,BCN,c/ Evarist Arnús 59 i c/ Comtes de Bell-Lloc 192,8014.0,41.38366087714364,2.135464167132671,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,,POINT (2.135464167132671 41.38366087714364),101099,47897,53202
7,Ateneu de Fabricació Parc Tecnológic,2.168955284327927,41.436964660556576,83897.0,4259804.83,0.8678,"POLYGON ((2.154924 41.436719, 2.156579 41.433688, 2.157908 41.430874, 2.158697 41.430077, 2.159258 41.4297, 2.160808 41.429052, 2.162293 41.428509, 2.1641529999999998 41.427843, 2.168317 41.426867, 2.171462 41.426913, 2.173462 41.427, 2.173496 41.427004, 2.177647 41.42838, 2.179269 41.42965, 2.183043 41.433011, 2.183318 41.433308, 2.183685 41.434371, 2.184009 41.436336, 2.1838319999999998 41.438491, 2.183523 41.441238, 2.180064 41.44447, 2.178922 41.445043, 2.178556 41.445194, 2.176776 41.445934, 2.176424 41.446054, 2.172225 41.446723, 2.171571 41.446792, 2.17149 41.4468, 2.168002 41.44693, 2.162353 41.445507, 2.158112 41.443781, 2.157199 41.442921, 2.155584 41.440566, 2.15529 41.439189, 2.154924 41.436719))",Ateneu de Fabricació,Barcelona,BCN,"Carrer de Marie Curie, 8-14",8042.0,41.436964660556576,2.1689552843279274,Ajuntament.barcelona.cat,https://ajuntament.barcelona.cat/ateneusdefabricacio/en/fab-labs-directory/,,,POINT (2.1689552843279274 41.436964660556576),100926,47815,53111
8,ATTA33,2.189540141998292,41.40031808724662,93252.0,4657447.19,0.9488000000000001,"POLYGON ((2.175785 41.40184, 2.175787 41.401769, 2.176761 41.398871, 2.17745 41.394688, 2.177575 41.392878, 2.178048 41.391035, 2.178336 41.390811, 2.17836 41.390795, 2.181738 41.389737, 2.185753 41.388976, 2.186292 41.388879, 2.187256 41.388911, 2.187572 41.388975, 2.188821 41.389335, 2.19314 41.390224, 2.195584 41.39035, 2.199626 41.390865, 2.199984 41.391165, 2.2015190000000002 41.392503, 2.202395 41.396124, 2.202395 41.396242, 2.2021319999999998 41.399316, 2.202267 41.402774, 2.202421 41.407581, 2.202415 41.40765, 2.202292 41.40834, 2.202255 41.408376, 2.200964 41.409348, 2.200573 41.409563, 2.200509 41.409573, 2.197431 41.409626, 2.193089 41.410071, 2.19077 41.411099, 2.190759 41.411103, 2.190581 41.411146, 2.190568 41.411148, 2.189302 41.411364, 2.186789 41.411176, 2.184171 41.41069, 2.181226 41.410069, 2.17956 41.4089, 2.179087 41.408561, 2.177828 41.407503, 2.176306 41.403096, 2.175785 41.40184))",Service,Barcelona,BCN,"Carrer de Tànger, 33",8018.0,41.40031808724662,2.189540141998292,Manually added,https://atta33.com/,,,POINT (2.189540141998292 41.40031808724662),77899,36905,40993
9,Barcelona Mobility LAB,2.199793097820458,41.43215238774583,44110.0,2136107.6,0.43520000000000003,"POLYGON ((2.189422 41.435354, 2.189877 41.432452, 2.190028 41.432364, 2.191024 41.431824, 2.1918860000000002 41.431582, 2.193161 41.431262, 2.19672 41.430939, 2.199167 41.430092, 2.20324 41.427856, 2.204158 41.427417, 2.207386 41.427823, 2.209334 41.428487, 2.211407 41.431012, 2.21108 41.435688999999996, 2.210447 41.437578, 2.210296 41.437681, 2.2055 41.44121, 2.205393 41.441232, 2.201753 41.442378, 2.199788 41.44367, 2.199775 41.443668, 2.194929 41.440286, 2.190987 41.437354, 2.19098 41.437347, 2.189441 41.43542, 2.189422 41.435354))",Fab Lab,Barcelona,BCN,Passatge del Torrent de l'Estadella 56,8030.0,41.43215238774583,2.199793097820458,Fablabs.io,,,,POINT (2.199793097820458 41.43215238774583),51978,24714,27264
