,name,longitude,latitude,total_pop,area,reachfactor,geometry,type,city,cluster,address,zipcode,Lat,Long,source,url,notes,URL 2,geometry_y,total,men,women
15,DamASpace,9.1798175115845,45.45245728345691,59746.0,4910677.26,1.0,"POLYGON ((9.164135 45.451239, 9.16489 45.447719, 9.164928 45.447662, 9.166357 45.446176, 9.166417 45.446126, 9.171312 45.443709, 9.171809 45.443111, 9.175617 45.440647, 9.179041 45.439865, 9.179195 45.439834, 9.179339 45.439845, 9.18392 45.441508, 9.189033 45.444099, 9.190042 45.44417, 9.193086 45.447197, 9.19502 45.448494, 9.195516 45.449135, 9.19612 45.450209, 9.196621 45.45281, 9.196623 45.452845, 9.194385 45.456142, 9.192076 45.459072, 9.189246 45.461268, 9.188247 45.461963, 9.187204 45.462682, 9.184989 45.463714, 9.18494 45.463729, 9.184919 45.463734, 9.181021 45.464662, 9.180343 45.464512, 9.180076 45.464441, 9.177323 45.463381, 9.172887 45.462362, 9.170371 45.461634, 9.166355 45.459945, 9.166338 45.459931, 9.166148 45.459753, 9.166134 45.4597, 9.165602 45.456832, 9.164135 45.451239))",Fab Lab,Milano,MI,"Corso S. Gottardo, 19",20136.0,45.45245728345691,9.1798175115845,"Fablabs.io, Comune.milano.it",https://fablabs.io/labs/DamASpaceFablab,,,POINT (9.1798175115845 45.45245728345691),58533,25242,28267
26,FabLabMilano - Fare le Idee / ShapeMode / Locanda Officina Monumentale,9.173905038143518,45.48916944106436,33427.0,2608277.99,0.5314,"POLYGON ((9.159492 45.48736, 9.160369 45.485091, 9.161159 45.483471, 9.162662 45.481026, 9.1628 45.480925, 9.164781 45.479729, 9.164914 45.479719, 9.166768 45.479574, 9.170986 45.47965, 9.174066 45.478745, 9.176666 45.477557, 9.178465 45.477576, 9.18199 45.479322, 9.184175 45.480734, 9.184248 45.480863, 9.185242 45.484037, 9.184977 45.486864, 9.181996 45.489088, 9.178212 45.489946, 9.177266 45.489936, 9.173213 45.490656, 9.169442 45.493948, 9.167439 45.495413, 9.167092 45.495583, 9.166618 45.495694, 9.166428 45.495736, 9.166394 45.495742, 9.165998 45.495748, 9.163561 45.49475, 9.163503 45.494713, 9.163494 45.494707, 9.163348 45.494612, 9.162465 45.493288, 9.159642999999999 45.489219, 9.159496 45.487427, 9.159492 45.48736))",Fab Lab / Incubator-Accelerator,Milano,MI,Via Galileo Ferraris 1,20154.0,45.48916944106436,9.173905038143518,Fablabs.io,https://fablabs.io/labs/fablabmilano,,,POINT (9.173905038143518 45.48916944106436),34846,15011,16663
33,Kinlab,9.137325384465216,45.47542892969495,50408.0,4335015.57,0.8831,"POLYGON ((9.121521 45.475001, 9.122676 45.472018, 9.122817 45.471652, 9.124838 45.468422, 9.125819 45.467497, 9.129381 45.466039, 9.130341 45.465755, 9.135306 45.464502, 9.136451 45.463872, 9.136494 45.463852, 9.138464 45.464102, 9.14428 45.465256, 9.148734 45.466582, 9.148736 45.466583, 9.148984 45.466665, 9.149077 45.466725, 9.14926 45.466946, 9.150923 45.47198, 9.15154 45.474753, 9.151063 45.479668, 9.1504 45.481679, 9.150323 45.481751, 9.147245999999999 45.48404, 9.144604 45.485166, 9.142289 45.485582, 9.138422 45.485647, 9.13768 45.485336, 9.136644 45.484897, 9.134786 45.484079, 9.130025 45.481269, 9.126622 45.482789, 9.126528 45.482815, 9.124855 45.48143, 9.122112 45.478037, 9.122019 45.47788, 9.121535 45.475219, 9.121521 45.475001))",DIYBio Lab,Milano,MI,Piazza Segesta 3,20148.0,45.47542892969495,9.137325384465216,Manually added,http://kinlab.it/,,,POINT (9.137325384465216 45.47542892969495),52256,21904,24288
34,Laboratorio Creativo Metropolitano,9.142506257671778,45.45707118196757,53231.0,3454942.18,0.7038,"POLYGON ((9.126831 45.452306, 9.127075 45.451853, 9.127881 45.451083, 9.132386 45.448706, 9.133247 45.448371, 9.135137 45.447754, 9.13664 45.447928, 9.14203 45.446766, 9.144958 45.446204, 9.145605 45.446327, 9.14611 45.44649, 9.147777 45.448405, 9.150104 45.452384, 9.150944 45.453796, 9.152156 45.45596, 9.152992 45.45787, 9.153136 45.458228, 9.153966 45.460545, 9.153981 45.460808, 9.15211 45.46319, 9.151892 45.463427, 9.148202 45.46492, 9.14272 45.466498, 9.141927 45.466669, 9.140104000000001 45.466856, 9.139745 45.46687, 9.139535 45.466878, 9.13923 45.46689, 9.136416 45.466236, 9.135291 45.465675, 9.133606 45.464773, 9.133243 45.464514, 9.131825 45.463008, 9.129787 45.45989, 9.128357 45.45779, 9.126986 45.453928, 9.126831 45.452306))",Makerspace,Milano,MI,Via Soderini 24,20146.0,45.45707118196757,9.142506257671778,Comune.milano.it,https://www.afolmet.it/index.php/laboratorio-creativo-metropolitano/,,,POINT (9.142506257671778 45.45707118196757),51820,20991,23986
38,Makers Hub,9.163090625635787,45.50743694550688,21621.0,3201077.54,0.6521,"POLYGON ((9.15161 45.509777, 9.153981 45.50708, 9.154801 45.503385, 9.15488 45.502957, 9.155083 45.500717, 9.156644 45.499175, 9.157616 45.498806, 9.157689 45.498824, 9.162663 45.498575, 9.164819 45.496724, 9.168356 45.497004, 9.168626 45.497076, 9.169652 45.497669, 9.170959 45.498421, 9.171379 45.498663, 9.171531 45.498881, 9.172787 45.501687, 9.175627 45.503398, 9.176217 45.503545, 9.176522 45.503644, 9.177339 45.504928, 9.17734 45.505042, 9.177443 45.508242, 9.177893 45.511033, 9.177515 45.511569, 9.177192 45.511835, 9.173928 45.512385, 9.169013 45.514436, 9.164783 45.516093, 9.163108 45.516282, 9.157127 45.516344, 9.15702 45.516335, 9.155677 45.51542, 9.152008 45.512817, 9.15161 45.509777))",Makerspace,Milano,MI,"Via Enrico Cosenz, 44/4",20158.0,45.50743694550688,9.163090625635787,Comune.milano.it,https://www.makershub.it/,,,POINT (9.163090625635787 45.50743694550688),21942,10246,10091
40,Milano Luiss Hub,9.184259894565583,45.4832816922208,43666.0,3904403.07,0.7954,"POLYGON ((9.168918 45.482797, 9.169117 45.48252, 9.172367 45.477917, 9.172653 45.477702, 9.175944 45.475437, 9.181019 45.473159, 9.181885 45.473021, 9.181956 45.473027, 9.185353 45.47401, 9.188181 45.473408, 9.188556 45.473453, 9.193565 45.475888, 9.196516 45.477182, 9.197265 45.477574, 9.197362 45.477644, 9.197663 45.481086, 9.197268 45.485729, 9.197256 45.485766, 9.197254 45.48577, 9.19687 45.48657, 9.194755 45.490344, 9.194697 45.490439, 9.189642 45.493226, 9.188766 45.49322, 9.182966 45.49363, 9.180572 45.493565, 9.18031 45.49351, 9.180176 45.493405, 9.176775 45.491219, 9.174714 45.490573, 9.172497 45.489349, 9.171225 45.488353, 9.171203 45.488321, 9.169133 45.484818, 9.168918 45.482797))",Makerspace,Milano,MI,"Via Massimo D'Azeglio, 3",20154.0,45.4832816922208,9.184259894565583,Manually added,http://www.milanoluisshub.it/,,,POINT (9.184259894565583 45.4832816922208),41541,18373,19975
41,Miocugino - officina di gesta e ingegno,9.16895578261383,45.44821912386584,40702.0,3844697.17,0.7832,"POLYGON ((9.154077 45.44699, 9.154087 45.446846, 9.155367 45.442599, 9.156334 45.44059, 9.157721 45.440166, 9.159339 45.43967, 9.162533 45.439003, 9.166022 45.437797, 9.166249 45.437795, 9.166542 45.437825, 9.167304 45.438149, 9.172581 45.437777, 9.173424 45.438151, 9.173699 45.438276, 9.174659 45.438864, 9.179323 45.441814, 9.180943 45.443371, 9.184284 45.448146, 9.184301 45.448171, 9.184472 45.449388, 9.184443 45.449528, 9.182536 45.453791, 9.182477 45.453884, 9.180916 45.455285, 9.175615 45.457949, 9.175442 45.458068, 9.175218 45.458223, 9.171634 45.458493, 9.169126 45.45883, 9.168976 45.458852, 9.168841 45.458839, 9.167692 45.4587, 9.167659 45.45869, 9.167444 45.4586, 9.167407 45.458581, 9.166913 45.4582, 9.166895 45.458179, 9.1659 45.456655, 9.165185 45.455453, 9.161683 45.450971, 9.157329 45.451459, 9.157276 45.451452, 9.155071 45.449866, 9.154703 45.449248, 9.154077 45.44699))",Makerspace,Milano,MI,via argelati 35,20143.0,45.44821912386584,9.16895578261383,"Fablabs.io, Comune.milano.it",https://fablabs.io/labs/miocugino,,,POINT (9.16895578261383 45.44821912386584),40602,17773,19548
42,Multilab Rozzano,9.145409811447047,45.37621908135071,15240.0,2425887.29,0.49420000000000003,"POLYGON ((9.136388 45.369081, 9.136694 45.36889, 9.138731 45.368529, 9.138756 45.368536, 9.143771 45.368279, 9.144861 45.367428, 9.14554 45.367122, 9.151372 45.366386, 9.152353 45.366444, 9.152645 45.366655, 9.15353 45.368564, 9.156263 45.373775, 9.156995 45.374783, 9.158227 45.376615, 9.158318 45.376896, 9.158338 45.377124, 9.158438 45.381458, 9.158333 45.381803, 9.156112 45.38225, 9.152493 45.384305, 9.152184 45.38449, 9.146595 45.385845, 9.146285 45.386027, 9.145642 45.386293, 9.142732 45.381082, 9.142059 45.379883, 9.140887 45.377789, 9.139716 45.375695, 9.137329 45.370572, 9.136506 45.369269, 9.136388 45.369081))",Fab Lab,Rozzano,MI,Via Matteotti 33,20089.0,45.37621908135071,9.145409811447047,Fablabs.io,https://fablabs.io/labs/multilabrozzano,,,POINT (9.145409811447047 45.37621908135071),14290,6159,6609
43,Opendot,9.22096801664852,45.45034823105788,54632.0,4193280.21,0.8542000000000001,"POLYGON ((9.205379 45.45289, 9.206112 45.4484, 9.206168 45.448328, 9.207784 45.446439, 9.209852 45.444077, 9.210097 45.443809, 9.211344 45.442995, 9.214071 45.442722, 9.214556 45.442701, 9.215701 45.442926, 9.220802 45.441267, 9.223674 45.440147, 9.22769 45.441572, 9.227776 45.441607, 9.229215 45.442737, 9.229329 45.442964, 9.234476 45.445733, 9.234666 45.445847, 9.235513 45.448342, 9.235519 45.448435, 9.235452 45.452495, 9.235448 45.452723, 9.235447 45.452727, 9.235444 45.4529, 9.233856 45.455152, 9.232642 45.456438, 9.230814 45.458091, 9.226322 45.460816, 9.224358 45.461639, 9.223575 45.461757, 9.223542 45.461757, 9.22318 45.461486, 9.21733 45.461424, 9.212475 45.459868, 9.212376 45.459824, 9.207858 45.457571, 9.207049 45.456903, 9.206798 45.456589, 9.206272 45.455916, 9.206081 45.455541, 9.205379 45.45289))",Fab Lab,Milano,MI,"Via Tertulliano, 70",20137.0,45.45034823105788,9.22096801664852,"Fablabs.io, Comune.milano.it",https://fablabs.io/labs/opendot,,,POINT (9.22096801664852 45.45034823105788),51525,22235,23754
44,Polifactory,9.166295669123226,45.506449418184594,30621.0,3365198.93,0.6856,"POLYGON ((9.154052 45.507, 9.154813 45.503316, 9.155102 45.500718, 9.155593 45.499843, 9.156738 45.499198, 9.157589 45.498878, 9.157663 45.498897, 9.160847 45.500156, 9.165069 45.496633, 9.167184 45.49647, 9.172185 45.496255, 9.172213 45.496257, 9.17547 45.499092, 9.176984 45.500709, 9.179927 45.504075, 9.180911 45.506719, 9.180924 45.506806, 9.180734 45.507066, 9.180143 45.507817, 9.179146 45.509235, 9.177226 45.513226, 9.174936 45.513846, 9.172754 45.514516, 9.168438 45.517088, 9.164717 45.516221, 9.164377 45.516142, 9.162420000000001 45.515628, 9.161679 45.515322, 9.159778 45.514033, 9.159457 45.513613, 9.156749 45.509385, 9.154052 45.507))",University Lab,Milano,MI,"Via Privata Simone Schiaffino, 22-30",20158.0,45.506449418184594,9.166295669123226,Fablabs.io,https://fablabs.io/labs/polifactory,,,POINT (9.166295669123226 45.506449418184594),29468,13882,13580
